0.953333,0.953448,0.953329
0.94,0.94011,0.939994
0.973333,0.973825,0.973323
0.973333,0.973333,0.973333
0.953333,0.953448,0.953329
0.96,0.96,0.96
0.698571,0.685304,0.690309
0.549524,0.673611,0.523093
0.679524,0.718277,0.691516
0.529286,0.718402,0.477953
0.644286,0.639711,0.641718
0.643571,0.705159,0.655484
0.802832,0.804034,0.803353
0.652437,0.671866,0.650063
0.82892,0.839168,0.831592
0.641634,0.674042,0.634594
0.750791,0.750504,0.750639
0.818511,0.81698,0.81752
0.92659,0.93748,0.931517
0.88561,0.906356,0.894108
0.947301,0.954654,0.950744
0.892097,0.92509,0.904542
0.911256,0.906073,0.908502
0.951648,0.947509,0.949491
0.78352,0.700231,0.722424
1,0.700231,0.82369
0.781067,0.674769,0.711686
0.905806,0.667824,0.768812
0.849063,0.847801,0.847679
0.758396,0.766204,0.751254

